article_id,repository_article_id,source_file,source_sha256,v3_file,v3_sha256,repository_version,repository_path,languages,url_map_rows,source_rows,forbidden_hits,related_links_each_locale,ja_body_chars_before,ja_body_chars_after,ko_body_chars_before,ko_body_chars_after,status
AB50_031_Guide_mpv_procurement_latin_america,AB50_031_Guide_mpv_procurement_latin_america,AB50_031_Guide_mpv_procurement_latin_america_FINAL.docx,4d23537fc566e0c71d0c174548a7549e453c10a5840b36b38c452d15c50fbb95,AB50_031_Guide_mpv_procurement_latin_america_v3_FINAL.docx,a86336f4f78f4800d50f00b38fbd10cf821e618fbc2648c97ef08f8ceb2e26d2,v3,batches/batch_20260901_001/articles/AB50_031_Guide_mpv_procurement_latin_america/versions/v3.md,12,12,2,[],2,871,1500,1031,1795,PASS_STRUCTURAL_CONTENT_BOUNDARY
AB50_033_Guide_mpv_procurement_southeast_asia,AB50_033_Guide_mpv_procurement_southeast_asia,AB50_033_Guide_mpv_procurement_southeast_asia_FINAL.docx,a4fde6a801ba06cc73ba671588e37cc4a9ecb7dc609bee69fd37a0587c46344d,AB50_033_Guide_mpv_procurement_southeast_asia_v3_FINAL.docx,b5ac24a703078ddbc5f5afdb8c62f56224c980e57707e6806eb418d89f70fc8e,v3,batches/batch_20260901_001/articles/AB50_033_Guide_mpv_procurement_southeast_asia/versions/v3.md,12,12,3,[],2,867,1503,1029,1802,PASS_STRUCTURAL_CONTENT_BOUNDARY
AB50_034_Guide_new_vs_used_ev_middle_east,AB50_034_Guide_new_vs_used_ev_middle_east,AB50_034_Guide_new_vs_used_ev_middle_east_FINAL.docx,6366882cdba353bcdffc5296c743e15e55a9e97cb2dbda745e4e662f40dccbcb,AB50_034_Guide_new_vs_used_ev_middle_east_v3_FINAL.docx,0e9f35fbc31b7d68feb3a034539231558b070b5bfe3285cba9a8e945aa336b25,v3,batches/batch_20260901_001/articles/AB50_034_Guide_new_vs_used_ev_middle_east/versions/v3.md,12,12,3,[],2,865,1490,1026,1772,PASS_STRUCTURAL_CONTENT_BOUNDARY
AB50_035_Guide_new_vs_used_ev_southeast_asia,AB50_035_Guide_new_vs_used_ev_southeast_asia,AB50_035_Guide_new_vs_used_ev_southeast_asia_FINAL.docx,67d2877721b31094f6d92c971547723e7da2202398cec92e6730bf43a68da368,AB50_035_Guide_new_vs_used_ev_southeast_asia_v3_FINAL.docx,bab689580da9deeffedc89bb4445033820421813830fb9902179abbc39c7f849,v3,batches/batch_20260901_001/articles/AB50_035_Guide_new_vs_used_ev_southeast_asia/versions/v3.md,12,12,3,[],2,871,1516,1032,1807,PASS_STRUCTURAL_CONTENT_BOUNDARY
AB50_036_Guide_photo_vin_review_africa,AB50_036_Guide_photo_vin_review_africa,AB50_036_Guide_photo_vin_review_africa_FINAL.docx,55531f1b1255b2cdf309af913c36245822bdfcf87dc43e8f21e627677810b894,AB50_036_Guide_photo_vin_review_africa_v3_FINAL.docx,f7f6e32154ec91d9b03fe79b4e8393c5f04d1f4c5fe1d978fdaaf2bc6365f578,v3,batches/batch_20260901_001/articles/AB50_036_Guide_photo_vin_review_africa/versions/v3.md,12,12,2,[],2,868,1472,1032,1761,PASS_STRUCTURAL_CONTENT_BOUNDARY
AB50_038_Guide_photo_vin_review_latin_america,AB50_038_Guide_photo_vin_review_latin_america,AB50_038_Guide_photo_vin_review_latin_america_FINAL.docx,bff4afda0b22f18aa7050fa8c95ae83f4dcb03122cc9023339de4d52cbfc22e7,AB50_038_Guide_photo_vin_review_latin_america_v3_FINAL.docx,fef5be943f3d46282f7d0e911992011f361d9fa34fe1eb8586032194bb34f280,v3,batches/batch_20260901_001/articles/AB50_038_Guide_photo_vin_review_latin_america/versions/v3.md,12,12,3,[],2,874,1510,1036,1805,PASS_STRUCTURAL_CONTENT_BOUNDARY
AB50_039_Guide_photo_vin_review_middle_east,AB50_039_Guide_photo_vin_review_middle_east,AB50_039_Guide_photo_vin_review_middle_east_FINAL.docx,9772cbefd178fb79185aecefd315141588642e897bb9995ff0bbe766ddb981b1,AB50_039_Guide_photo_vin_review_middle_east_v3_FINAL.docx,44dc0ebce23c210593ed2b5e6addb03d46e4ca53c4513d7454b4ee2e12645c49,v3,batches/batch_20260901_001/articles/AB50_039_Guide_photo_vin_review_middle_east/versions/v3.md,12,12,3,[],2,864,1480,1028,1774,PASS_STRUCTURAL_CONTENT_BOUNDARY
AB50_040_Guide_photo_vin_review_southeast_asia,AB50_040_Guide_photo_vin_review_southeast_asia,AB50_040_Guide_photo_vin_review_southeast_asia_FINAL.docx,409e9c8bcc2c43495eb23b6001cc0e8a7af94c8ac571aba7ee4de82f54f9f2e5,AB50_040_Guide_photo_vin_review_southeast_asia_v3_FINAL.docx,79eab882ed4e7465749515ad02e02d07891b15bbe659a4730a55b6c61ad17120,v3,batches/batch_20260901_001/articles/AB50_040_Guide_photo_vin_review_southeast_asia/versions/v3.md,12,12,3,[],2,870,1503,1034,1802,PASS_STRUCTURAL_CONTENT_BOUNDARY
AB50_041_Guide_pickup_export_africa,AB50_041_Guide_pickup_export_africa,AB50_041_Guide_pickup_export_africa_FINAL.docx,5a866312920a295dc65b8066ebf8d5b5d7f591e396d643feda7870e2b7c83b82,AB50_041_Guide_pickup_export_africa_v3_FINAL.docx,771f509edb994426e9e6a811bdfc1b862c618f5db67cdd96c0a8f4924123258b,v3,batches/batch_20260901_001/articles/AB50_041_Guide_pickup_export_africa/versions/v3.md,12,12,2,[],2,870,1473,1027,1752,PASS_STRUCTURAL_CONTENT_BOUNDARY
AB50_042_Guide_pickup_export_latin_america,AB50_042_Guide_pickup_export_latin_america,AB50_042_Guide_pickup_export_latin_america_FINAL.docx,f14bd62da05b4bc9640d77ecd49b5cf1b9c49b0c3e31d631beece36d5e6ff536,AB50_042_Guide_pickup_export_latin_america_v3_FINAL.docx,8e3fa9e9359b134388b4dbb88d72d7eeb83f1b6f8bf497c379812532f24fab94,v3,batches/batch_20260901_001/articles/AB50_042_Guide_pickup_export_latin_america/versions/v3.md,12,12,2,[],2,876,1508,1031,1791,PASS_STRUCTURAL_CONTENT_BOUNDARY
AB50_043_Guide_pickup_export_middle_east,AB50_043_Guide_pickup_export_middle_east,AB50_043_Guide_pickup_export_middle_east_FINAL.docx,e290f64a989a5eb37ec9cb18d2d0ff6a4852ab13b4d22f65eee6295b5e85f89b,AB50_043_Guide_pickup_export_middle_east_v3_FINAL.docx,1e8adb2251a9dc4b66adb3de3f352994a788d0ca8e4dd8f3093052192a3404fd,v3,batches/batch_20260901_001/articles/AB50_043_Guide_pickup_export_middle_east/versions/v3.md,12,12,2,[],2,866,1477,1023,1763,PASS_STRUCTURAL_CONTENT_BOUNDARY
AB50_046_Guide_roro_container_shipping_latin_america,AB50_046_Guide_roro_container_shipping_latin_america,AB50_046_Guide_roro_container_shipping_latin_america_FINAL.docx,e148dec5a5a75cabd44e2db0469e130cff310ab7d96be2edb6ff886e541d06d8,AB50_046_Guide_roro_container_shipping_latin_america_v3_FINAL.docx,2d5b0350d0fbf57139bbdfb044ba7c198dc72a24c65a40dcbb7b81b9c0127b15,v3,batches/batch_20260901_001/articles/AB50_046_Guide_roro_container_shipping_latin_america/versions/v3.md,12,12,3,[],2,875,1515,1037,1801,PASS_STRUCTURAL_CONTENT_BOUNDARY
AB50_048_Guide_roro_container_shipping_southeast_asia,AB50_048_Guide_roro_container_shipping_southeast_asia_REUSED,AB50_048_Guide_roro_container_shipping_southeast_asia_FINAL_v3_CANDIDATE.docx,d0c9ea532d9ae67ded48cd26f48ec44218ccccead066e25155f9f81d8d908e34,AB50_048_Guide_roro_container_shipping_southeast_asia_v3_FINAL.docx,91283b417259c47472048a62d0b3c69bb5cbbcc989a4c04b195b06a3d7a27c0b,v3,batches/batch_20260901_001/articles/AB50_048_Guide_roro_container_shipping_southeast_asia_REUSED/versions/v3.md,12,12,4,[],2,817,1449,990,1752,PASS_STRUCTURAL_CONTENT_BOUNDARY
AB50_049_Guide_seven_seat_suv_africa,AB50_049_Guide_seven_seat_suv_africa,AB50_049_Guide_seven_seat_suv_africa_FINAL.docx,6ee7dac85185078edb00b6769154fc1d10beca9155f9d5b723af2e4f484787cb,AB50_049_Guide_seven_seat_suv_africa_v3_FINAL.docx,375be6e129e406e0f175895098fa70fd6ebbd0ab6aab9ea91bff6f7400531cae,v3,batches/batch_20260901_001/articles/AB50_049_Guide_seven_seat_suv_africa/versions/v3.md,12,12,2,[],2,867,1489,1028,1772,PASS_STRUCTURAL_CONTENT_BOUNDARY
AB50_050_Guide_seven_seat_suv_latin_america,AB50_050_Guide_seven_seat_suv_latin_america,AB50_050_Guide_seven_seat_suv_latin_america_FINAL.docx,8de2767950289a283c194c31db3d711cec344636db3c0dde2d7709fa8a254efe,AB50_050_Guide_seven_seat_suv_latin_america_v3_FINAL.docx,9b178c9741611584ca0af8615ed13b45b4668c87afebb6ea1fde016afeaa1db0,v3,batches/batch_20260901_001/articles/AB50_050_Guide_seven_seat_suv_latin_america/versions/v3.md,12,12,3,[],2,873,1513,1032,1798,PASS_STRUCTURAL_CONTENT_BOUNDARY
